name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.co_dim,model.dropout_rate,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_851a1_00010,0.9782288563509893,0.6985384714072731,0.9813618340219086,0.5988898025090579,0.9490591654527359,-0.577651549013874,0.22885450608101854,-0.47432072373817297,0.06164868607627236,-2.215232703542862,murray_recnf_pfc,base_arprior,4,0.5768452442025991,30,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_851a1_00011,0.9768894290388492,0.7046089973136086,0.9793173655636827,0.4952673976032697,0.971086973166386,-0.7709193903507958,0.16538912523748683,-0.476373978550498,0.12017409563143944,-3.7808478937693377,murray_recnf_pfc,base_mvnprior,2,0.5818361974762949,10,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_851a1_00012,0.9758362035638025,0.6865834669066238,0.974197042421521,0.19178931275654074,0.9705200166728245,-1.4970246248868515,0.2798854350520972,-0.4082588504939424,0.0701078326437701,-1.1358235666394603,murray_recnf_pfc,base_arprior,4,0.5030915381233165,2,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_851a1_00013,0.9786435560408772,0.7152289477486828,0.9821336736299504,0.6099880091361191,0.9548173790235578,-0.217536073471469,0.3708005117560135,-0.30014846617137014,0.3708005117559976,-2.2663707746909636,murray_recnf_pfc,base_mvnprior,1,0.48445715119589994,30,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_851a1_00014,0.9746567966825619,0.6406412459422545,0.9777334838250402,0.5158869719298093,0.9568392530361929,-0.37868992135619334,0.400247735139564,-0.3366428341905172,0.12655516567682468,-0.06895134323491559,murray_recnf_pfc,base_arprior,4,0.5454560360982303,30,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_851a1_00015,0.9787258724206667,0.7266379434023079,0.9820798009312944,0.6183868548079042,0.976610632354418,0.07033575119727241,0.19395796265418785,-0.46569528572973345,0.09715375371580909,-3.4767002844758994,murray_recnf_pfc,base_mvnprior,2,0.5289495310172281,30,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_851a1_00016,0.9771784424123277,0.7252268439743266,0.9778243519338872,0.420585256384195,0.8429117753577453,-617.0459365466661,0.03926879352186463,-0.6607453397899993,0.0392687935218633,-0.054731528964310446,murray_recnf_pfc,base_arprior,1,0.3771011315898126,10,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_851a1_00017,0.9704792820612284,0.7085279927534058,0.9661325512478725,-1.0044554680781075,0.9708519263023371,-2.010615012432006,0.3579738119724518,-0.31225208273769156,0.21774244483103394,-3.9231613453873186,murray_recnf_pfc,base_arprior,2,0.4876879091306961,2,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_851a1_00018,0.9780586286234527,0.6760866604046808,0.9787838068112384,0.3394535311308806,0.8947952243780998,-1.1827682019110277,0.012302837224780871,-0.6556632419625578,0.012302837224770102,-0.38147402047966544,murray_recnf_pfc,base_mvnprior,1,0.22667600350684058,10,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_851a1_00019,0.9490424000518165,0.3307102289621254,0.8292882681420388,-3.7448415469575846,0.8303985174889608,-20.967048297721774,0.0035383755312956566,-0.6997676088298157,0.0008346049226773122,-0.04875987709806201,murray_recnf_pfc,base_arprior,4,0.296670285637738,2,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
