name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.co_dim,model.dropout_rate,model.gen_cell.scale,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_2634d_00010,0.987989116453708,0.8959366347214552,0.9560794427556176,-0.43498043759204197,0.865356061654019,0.386702167018306,0.21853140949625882,-2.010151288216608,0.04713728420895319,-0.3049990741513028,murray_rec_pfc,odinlin_arprior,4,0.5768452442025991,0.05,20,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_2634d_00011,0.9872781795050245,0.8583690268812644,0.9568514093994237,-0.6386534305080355,0.8970967074808908,-0.5523948986604944,0.6391621248849242,-0.3297975752037022,0.5387823460256332,-3.165541949951932,murray_rec_pfc,odinlin_mvnprior,2,0.5818361974762949,0.05,10,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_2634d_00012,0.9859631213321695,0.8528255329562255,0.9301505114703179,-1.5964126952518185,0.91510902662164,-1.5444698330896234,0.9487389912406835,0.7602549927507735,0.5666640062842657,0.007199163858041366,murray_rec_pfc,odinlin_arprior,4,0.5030915381233165,0.05,5,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_2634d_00013,0.9882786338549181,0.8920189603937306,0.9618279188991976,-0.7704835027807851,0.8931027063235806,0.610340823744702,0.2285869529114274,-1.3256062506881134,0.22858695291142894,-0.06096139318829951,murray_rec_pfc,odinlin_mvnprior,1,0.48445715119589994,0.05,20,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_2634d_00014,0.9874669903564325,0.8746304911531384,0.9755731847730242,0.4128100012934855,0.9137744769764046,0.6587559457778652,0.41249295401469643,-1.3813460190891893,0.1115373215559328,-0.23781532717500828,murray_rec_pfc,odinlin_arprior,4,0.5454560360982303,0.05,20,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_2634d_00015,0.9880601297648965,0.899242004211997,0.9591525389452975,-0.05478891472587464,0.9066323246779285,0.6615788195601503,0.5355333602716699,-0.5246668905035686,0.32975145594156563,-0.43895517489336683,murray_rec_pfc,odinlin_mvnprior,2,0.5289495310172281,0.05,20,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_2634d_00016,0.9873990309438946,0.883599455441674,0.9579051420813847,0.014416196985693212,0.8181333808828365,-0.7029573388570528,0.06240371330005712,-2.0679392825309995,0.06240371330004968,-0.0735870170608033,murray_rec_pfc,odinlin_arprior,1,0.3771011315898126,0.05,10,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_2634d_00017,0.9880342346077307,0.8857579589919877,0.9702828801991823,-0.2562026846785823,0.9461441497163099,-0.10642084338716072,0.9333103398728226,0.6844363261736656,0.473912835609929,-1.0706552215616132,murray_rec_pfc,odinlin_arprior,2,0.4876879091306961,0.05,5,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_2634d_00018,0.9876180882407054,0.8920316814915095,0.9058207846966568,-6.44834023402042,0.9111488428098584,0.2809020148476711,0.32714024669272623,-1.0501497307956755,0.3271402466927126,0.0004900278675187951,murray_rec_pfc,odinlin_mvnprior,1,0.22667600350684058,0.05,10,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_2634d_00019,0.9875217122172437,0.8476566255791297,0.9544218432004198,-1.770225688880428,0.8983074144100318,0.5546624205250148,0.4283984670301848,-1.2986333450286975,0.16336145200454136,-0.46666392655502537,murray_rec_pfc,odinlin_arprior,4,0.296670285637738,0.05,5,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
